Accessory Name,Compatible Machine ID,Accessory Specification
Milk Frothing Pitcher 350ml,EX001,Stainless steel jug for manual milk frothing
Water Filter AquaClean,EX002,Reduces limescale; improves taste; fits AquaClean slot
Coffee Bean Container Extension,EX003,Extra 250g capacity for coffee beans
LatteCrema Milk Container,EX001,Removable container for milk frothing; dishwasher safe
Stainless Steel Tamper 58mm,EX010,Heavy-duty tamper for professional espresso extraction
Descaling Kit Universal,EX001,Liquid solution for removing limescale from coffee machines
Dual Cup Espresso Glass Set,EX007,Double-wall borosilicate glass; 60ml capacity
WiFi Module Upgrade,EX008,Adds wireless connectivity for app control
Professional Knock Box,EX010,Waste container for used coffee pucks
Cappuccino Art Stencil Set,EX001,Stainless steel stencils for decorating milk foam
Ceramic Burr Grinder Replacement,EX004,OEM replacement ceramic grinder burr set
Coffee Grounds Container Large,EX005,Increased capacity for used coffee grounds
Travel Mug Stainless Steel 350ml,EX002,Fits machine outlet directly for on-the-go coffee
Barista Digital Scale,EX010,Precision scale with timer for espresso brewing
Cold Brew Adapter Kit,EX003,Allows brewing cold coffee directly from machine
